Position,Track Name,Artist,Streams,URL
123,Say You Won't Let Go,James Arthur,910361,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
124,Intentions (feat. Quavo),Justin Bieber,908694,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
125,Jocelyn Flores,XXXTENTACION,907238,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
126,Tyler Herro,Jack Harlow,906662,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
127,Godzilla (feat. Juice WRLD),Eminem,906060,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
128,ily (i love you baby) (feat. Emilee),Surf Mesa,902364,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
129,Dior,Pop Smoke,897020,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
130,Heat Waves,Glass Animals,895740,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
131,All Girls Are The Same,Juice WRLD,894633,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
132,Deep End,Foushe??,892897,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
133,Toosie Slide,Drake,892884,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
134,T?ß Me Dejaste De Querer (feat. Ni?Òo de Elche & La Hungara),C. Tangana,884805,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
135,Perfect,Ed Sheeran,884081,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
136,All We Got (feat. KIDDO),Robin Schulz,883105,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
137,Say So,Doja Cat,880330,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
138,Recairei - Ao Vivo,Os Bar?Êes Da Pisadinha,876955,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
139,ROXANNE,Arizona Zervas,875813,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
140,Meia Noite (Voc?¶ tem meu Whatsapp),Tarc??sio do Acordeon,872042,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
141,Bohemian Rhapsody - Remastered 2011,Queen,868382,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
142,Falling,Harry Styles,865907,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
143,Shape of You,Ed Sheeran,858890,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
144,"no body, no crime (feat. HAIM)",Taylor Swift,856189,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
145,everything i wanted,Billie Eilish,855556,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
146,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,854783,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
147,SICKO MODE,Travis Scott,841139,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
148,Si Me Tomo Una Cerveza,Migrantes,837407,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
149,Why'd You Only Call Me When You're High?,Arctic Monkeys,836252,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
150,De Cora <3,Rauw Alejandro,821254,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
151,La Luz,Sech,816982,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
152,HACIENDO QUE ME AMAS,Bad Bunny,815757,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
153,Caramelo,Ozuna,811852,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
154,Go Crazy,Chris Brown,802898,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
155,All I Want for Christmas Is You,Mariah Carey,802210,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
156,Do I Wanna Know?,Arctic Monkeys,802084,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
157,I Don't Care (with Justin Bieber),Ed Sheeran,801871,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
158,Hayloft,Mother Mother,796291,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
159,SAD!,XXXTENTACION,794435,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
160,Tequila Shots,Kid Cudi,791059,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
161,hot girl bummer,blackbear,787398,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
162,Lovesick Girls,BLACKPINK,780934,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
163,Kings & Queens,Ava Max,778042,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
164,Yellow,Coldplay,776246,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
165,Ice Cream (with Selena Gomez),BLACKPINK,773258,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
166,Amor ou o Litr?úo,Petter Ferraz,770179,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
167,Ponte Pa' Mi,Justin Quiles,768598,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
168,All of Me,John Legend,764224,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
169,gold rush,Taylor Swift,762994,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
170,Diamonds,Sam Smith,750436,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
171,É??tis the damn season,Taylor Swift,744579,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
172,Slay3r,Playboi Carti,743282,https://open.spotify.com/track/1eMNW1HQjF1dbb4GtnmpaX
173,Azul,J Balvin,739623,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
174,In Your Eyes,The Weeknd,738910,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
175,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,737900,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
176,Maniac,Conan Gray,730769,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
177,Star Shopping,Lil Peep,730160,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
178,Fever,Dua Lipa,728535,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
179,rockstar (feat. 21 Savage),Post Malone,728447,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
180,Show Out (with Skepta & Pop Smoke),Kid Cudi,726975,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv
